City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saint-philippe,90,CA,1538344500,78,45.36,-73.48,53.6,12.12
busselton,12,AU,1538345409,100,-33.64,115.35,56.15,18.05
port hardy,90,CA,1538342040,93,50.7,-127.42,51.8,10.29
bunumbu,92,SL,1538345712,100,7.96,-11.73,72.44,2.84
brae,56,GB,1538344200,52,60.4,-1.35,42.8,19.46
jojoima,64,SL,1538345713,98,7.88,-10.79,70.55,4.18
payakumbuh,56,ID,1538345713,97,-0.23,100.63,69.83,2.28
provideniya,75,RU,1538343000,87,64.42,-173.23,50.0,13.42
butaritari,64,KI,1538345415,100,3.07,172.79,84.41,10.45
egvekinot,88,RU,1538345455,100,66.32,-179.17,45.71,8.21
kodiak,90,US,1538340780,96,39.95,-94.76,60.98,6.93
rikitea,76,PF,1538345410,100,-23.12,-134.97,72.89,13.8
ushuaia,75,AR,1538341200,80,-54.81,-68.31,35.6,23.04
sagarejo,0,GE,1538343000,68,41.73,45.33,66.2,3.36
ilulissat,76,GL,1538344200,52,69.22,-51.1,44.6,13.87
changping,0,CN,1538343000,44,40.22,116.23,60.8,11.18
hermanus,20,ZA,1538345416,80,-34.42,19.24,49.13,2.17
atuona,56,PF,1538345422,100,-9.8,-139.03,78.2,12.68
magadan,80,RU,1538343000,80,59.56,150.8,39.2,2.73
ust-kuyga,88,RU,1538345714,96,70.0,135.55,29.24,3.4
touros,20,BR,1538345714,77,-5.2,-35.46,78.47,16.71
severo-kurilsk,80,RU,1538345436,94,50.68,156.12,50.21,10.45
puerto ayora,75,EC,1538341200,69,-0.74,-90.35,77.0,17.22
moose factory,40,CA,1538343240,87,51.26,-80.61,42.8,10.29
vao,88,EE,1538345715,98,59.1,26.19,48.86,11.45
clyde river,90,CA,1538341200,100,70.47,-68.59,30.2,16.11
saint anthony,1,US,1538340960,35,43.97,-111.68,66.92,11.41
tulsa,90,US,1538344500,66,36.16,-95.99,80.42,12.75
ribeira grande,64,PT,1538345441,100,38.52,-28.7,71.72,22.08
